Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,source,saved_path,detail_specs_html_path
Laptop Gigabyte GAMING A16 CTHI3VN893SH,Laptop Gigabyte,Intel,i7-13620h,13,,,,,,16,1920 x 1200,165,NVIDIA,2.2,76 Wh,30990000,https://www.anphatpc.com.vn/laptop-gigabyte-gaming-a16-cthi3vn893sh.html,anphat,data/anphat/raw_htmls/0054.html,
Laptop Gigabyte GAMING A16 CTHH3VN893SH (Intel Core i5-13420H),Laptop Gigabyte,Intel,i5-13420h,13,,,,,4000,16,1920 x 1200,165,NVIDIA,2.2,76 Wh,28990000,https://www.anphatpc.com.vn/laptop-gigabyte-gaming-a16-cthh3vn893sh.html,anphat,data/anphat/raw_htmls/0055.html,
Laptop Dell 15 DC15250 DC5I7952W1 (Intel Core i7-1355U),Laptop Dell,Intel,i7-1355u,13,5.00,,,,,15.6,1920 x 1080,,Intel,1.65,54 Wh,22590000,https://www.anphatpc.com.vn/laptop-dell-15-dc15250-dc5i7952w1.html,anphat,data/anphat/raw_htmls/0056.html,
Laptop HP OmniBook 5 AI 16-AF1048TU BZ7Q9PA,Laptop HP,Intel,core ultra 5,5,,,,,,16,1920 x 1200,,Intel,1.725,59 Wh,26190000,https://www.anphatpc.com.vn/laptop-hp-omnibook-5-ai-16-af1048tu-bz7q9pa.html,anphat,data/anphat/raw_htmls/0057.html,
Laptop Dell 15 DC15250 DC15250-i7U161W11SLU-5,Laptop Dell,Intel,i7-1355u,13,5.00,,,,,15.6,1920 x 1080,,Intel,1.65,54 Wh,23590000,https://www.anphatpc.com.vn/laptop-dell-15-dc15250-dc15250-i7u161w11slu-5.html,anphat,data/anphat/raw_htmls/0058.html,
Laptop ASUS TUF Gaming A16 FA608UM-RV266W,Laptop Asus,AMD,,,3.8,,,5600,,,1920 x 1200,165,NVIDIA,2.20,,41490000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-a16-fa608um-rv266w.html,anphat,data/anphat/raw_htmls/0059.html,
Laptop ASUS TUF Gaming F16 FX608JH-RV039W (Intel Core i5-13450HX),Laptop Asus,Intel,i5-13450hx,13,2.4,,,,,,1920 x 1200,,NVIDIA,2.20,,31590000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-f16-fx608jh-rv039w.html,anphat,data/anphat/raw_htmls/0060.html,
Laptop ASUS TUF Gaming F16 FX608JHR-RV037W (Intel Core i7 14650HX),Laptop Asus,Intel,core i7,,2.2,,,,,,1920 x 1200,,NVIDIA,2.20,,36890000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-f16-fx608jhr-rv037w.html,anphat,data/anphat/raw_htmls/0061.html,
Laptop ASUS TUF Gaming F16 FX608JH-RV131W (Intel Core i5-13450HX),Laptop Asus,Intel,i5-13450hx,13,,,,,,16,1920 x 1200,,NVIDIA,2.20,,31990000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-f16-fx608jh-rv131w.html,anphat,data/anphat/raw_htmls/0062.html,
Laptop ASUS TUF Gaming F16 FX608JH-QT127W,Laptop Asus,Intel,i5-13450hx,13,2.4,,,,,16,2560 x 1600,,NVIDIA,2.20,,31990000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-f16-fx608jh-qt127w.html,anphat,data/anphat/raw_htmls/0063.html,
Laptop Dell 16 DC16251 DC6C7557W1,Laptop Dell,Intel,,,,,,,,16,1920 x 1200,,NVIDIA,1.98,54 Wh,30990000,https://www.anphatpc.com.vn/laptop-dell-16-dc16251-dc6c7557w1.html,anphat,data/anphat/raw_htmls/0064.html,
